movie_name,ranking,score,score_num
碟中谍5：神秘国度,186,7.9,336995
星际迷航2：暗黑无界,187,8.0,219038
笑傲江湖,188,8.0,118704
第五元素,189,8.0,206017
死侍,190,7.9,487710
杀死比尔：整个血腥事件,191,8.7,40436
暴力街区,192,8.1,128460
美国队长3,193,7.9,470830
浪客剑心 最终章 追忆篇,194,8.6,45434
局内人,195,8.1,125128
新少林五祖,196,8.0,102946
赌圣,197,7.9,215795
激战,198,7.9,203885
倚天屠龙记之魔教教主,199,7.9,203520
破坏之王,200,7.9,189947
虎胆龙威,201,8.2,86920
疾速追杀2,202,7.9,183531
椿三十郎,203,8.8,34682
卑劣的街头,204,8.1,112535
封神第一部：朝歌风云,205,7.8,1178469
摩加迪沙,206,8.1,109317
速度与激情6,207,7.9,275168
星球大战前传2：克隆人的进攻,208,8.1,106204
兰戈,209,8.0,152166
隐秘而伟大,210,7.9,265301
宾虚,211,8.7,37353
热血高校,212,8.0,148251
古惑仔之人在江湖,213,7.9,140994
蝙蝠侠：黑暗骑士归来(下),214,8.9,30391
西线无战事,215,8.9,30263
头文字D,216,7.8,418100
浪客剑心,217,8.1,99840
叶问,218,7.8,390151
功夫熊猫3,219,7.8,382454
鬼灭之刃 那田蜘蛛山篇,220,9.2,23859
新警察故事,221,7.8,348225
阿凡达：水之道,222,7.8,603031
危情三日,223,8.1,95793
速度与激情,224,7.9,211628
疾速追杀3,225,7.9,209478
史密斯夫妇,226,7.8,522583
环太平洋,227,7.8,489368
木乃伊,228,7.9,201208
守法公民,229,8.0,126976
投名状,230,7.8,266434
最终幻想7：圣子降临,231,8.3,60022
侏罗纪世界,232,7.8,442170
刀,233,8.1,49173
斯巴达300勇士,234,7.9,181882
加勒比海盗4：惊涛怪浪,235,7.8,383441
变形金刚2,236,7.8,382973
流感,237,7.8,376965
午夜狂奔,238,8.6,38335
奇迹,239,8.1,46953
怒火救援,240,8.1,84365
龙争虎斗,241,8.3,31335
蜘蛛侠2,242,7.8,295977
我是谁,243,7.8,163380
恶人传,244,7.8,290488
飞鹰计划,245,7.9,86589
X战警,246,7.8,287730
方世玉续集,247,7.9,85505
走到尽头,248,8.0,105873
唐人街探案,249,7.7,883121
超人总动员2,250,7.8,273464
金蝉脱壳,251,7.8,264254
子弹列车,252,7.8,257802
快餐车,253,7.9,79744
绣春刀,254,7.7,484207
A计划续集,255,7.9,78125
智取威虎山,256,7.7,405324
黑衣人2,257,7.8,227528
疾速追杀,258,7.8,225288
城市猎人,259,7.8,124773
警察故事3：超级警察,260,7.9,73557
英雄,261,7.7,335087
一眉道人,262,8.0,52497
十月围城,263,7.7,324438
中南海保镖,264,7.8,116323
笑林小子2：新乌龙院,265,7.9,71179
突袭2：暴徒,266,8.1,72628
窃听风云,267,7.7,294810
艋舺,268,7.7,291413
正义联盟：闪点悖论,269,8.7,31494
极限职业,270,7.8,202380
007：大战皇家赌场,271,7.8,199633
安娜,272,7.8,195908
红番区,273,7.8,108122
浪客剑心：传说的完结篇,274,8.2,58500
古惑仔3之只手遮天,275,7.8,107781
蚁人,276,7.7,451407
钢铁侠2,277,7.7,436064
